SLR closure table
Goto	Kernel	State	Closure
goto(52, NumReal)	{ARITHMETICFACTOR -> NumReal.}	33	 
goto(52, Var)	{ARITHMETICFACTOR -> Var.}	34	 
goto(55, ARITHMETICEXPRESSION)	{RELATIONALTERM -> ARITHMETICEXPRESSION OpRel ARITHMETICEXPRESSION.; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSub ARITHMETICTERM}	68	{RELATIONALTERM -> ARITHMETICEXPRESSION OpRel ARITHMETICEXPRESSION.; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSub ARITHMETICTERM}
goto(55, ARITHMETICTERM)	{ARITHMETICEXPRESSION -> ARITHMETICTERM.; ARITHMETICTERM -> ARITHMETICTERM.OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> ARITHMETICTERM.OpAritDiv ARITHMETICFACTOR}	30	 
goto(55, ARITHMETICFACTOR)	{ARITHMETICTERM -> ARITHMETICFACTOR.}	31	 
goto(55, NumInt)	{ARITHMETICFACTOR -> NumInt.}	32	 
goto(55, NumReal)	{ARITHMETICFACTOR -> NumReal.}	33	 
goto(55, Var)	{ARITHMETICFACTOR -> Var.}	34	 
goto(55, OpenPar)	{ARITHMETICFACTOR -> OpenPar.ARITHMETICEXPRESSION ClosePar}	35	 
goto(56, ClosePar)	{RELATIONALTERM -> OpenPar RELATIONALEXPRESSION ClosePar.}	69	{RELATIONALTERM -> OpenPar RELATIONALEXPRESSION ClosePar.}
goto(56, BOOLEANOPERATOR)	{RELATIONALEXPRESSION -> RELATIONALEXPRESSION BOOLEANOPERATOR.RELATIONALTERM}	52	 
goto(56, OpBoolAnd)	{BOOLEANOPERATOR -> OpBoolAnd.}	53	 
goto(56, OpBoolOr)	{BOOLEANOPERATOR -> OpBoolOr.}	54	 
goto(57, ClosePar)	{ARITHMETICFACTOR -> OpenPar ARITHMETICEXPRESSION ClosePar.}	65	 
goto(57, OpAritSum)	{ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION OpAritSum.ARITHMETICTERM}	46	 
goto(57, OpAritSub)	{ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION OpAritSub.ARITHMETICTERM}	47	 
goto(57, OpRel)	{RELATIONALTERM -> ARITHMETICEXPRESSION OpRel.ARITHMETICEXPRESSION}	55	 
goto(61, OpAritMult)	{ARITHMETICTERM -> ARITHMETICTERM OpAritMult.ARITHMETICFACTOR}	48	 
goto(61, OpAritDiv)	{ARITHMETICTERM -> ARITHMETICTERM OpAritDiv.ARITHMETICFACTOR}	49	 
goto(62, OpAritMult)	{ARITHMETICTERM -> ARITHMETICTERM OpAritMult.ARITHMETICFACTOR}	48	 
goto(62, OpAritDiv)	{ARITHMETICTERM -> ARITHMETICTERM OpAritDiv.ARITHMETICFACTOR}	49	 
goto(66, KwElse)	{CONDITIONCMD -> KwIf RELATIONALEXPRESSION KwThen COMMAND KwElse.COMMAND}	70	{CONDITIONCMD -> KwIf RELATIONALEXPRESSION KwThen COMMAND KwElse.COMMAND; COMMAND -> .ASSIGNCMD; COMMAND -> .INCMD; COMMAND -> .OUTCMD; COMMAND -> .CONDITIONCMD; COMMAND -> .REPEATCMD; COMMAND -> .SUBALGORITHM; ASSIGNCMD -> .KwAssign ARITHMETICEXPRESSION KwTo Var; INCMD -> .KwRead Var; OUTCMD -> .KwPrint Var; OUTCMD -> .KwPrint String; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND; REPEATCMD -> .KwWhile RELATIONALEXPRESSION COMMAND; SUBALGORITHM -> .KwBegin COMMANDLIST KwEnd}
goto(68, OpAritSum)	{ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION OpAritSum.ARITHMETICTERM}	46	 
goto(68, OpAritSub)	{ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION OpAritSub.ARITHMETICTERM}	47	 
goto(70, COMMAND)	{CONDITIONCMD -> KwIf RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND.}	71	{CONDITIONCMD -> KwIf RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND.}
goto(70, ASSIGNCMD)	{COMMAND -> ASSIGNCMD.}	16	 
goto(70, INCMD)	{COMMAND -> INCMD.}	17	 
goto(70, OUTCMD)	{COMMAND -> OUTCMD.}	18	 
goto(70, CONDITIONCMD)	{COMMAND -> CONDITIONCMD.}	19	 
goto(70, REPEATCMD)	{COMMAND -> REPEATCMD.}	20	 
goto(70, SUBALGORITHM)	{COMMAND -> SUBALGORITHM.}	21	 
goto(70, KwAssign)	{ASSIGNCMD -> KwAssign.ARITHMETICEXPRESSION KwTo Var}	22	 
goto(70, KwRead)	{INCMD -> KwRead.Var}	23	 
goto(70, KwPrint)	{OUTCMD -> KwPrint.Var; OUTCMD -> KwPrint.String}	24	 
goto(70, KwIf)	{CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND}	25	 
goto(70, KwWhile)	{REPEATCMD -> KwWhile.RELATIONALEXPRESSION COMMAND}	26	 
goto(70, KwBegin)	{SUBALGORITHM -> KwBegin.COMMANDLIST KwEnd}	27	 
